image_id,true_label,predicted_label_m12,predicted_label_m13,transition_type
10_right,0,2,0,corrected_by_m13
111_right,0,1,0,corrected_by_m13
257_right,2,3,2,corrected_by_m13
286_left,2,2,3,introduced_by_m13
367_left,4,2,4,corrected_by_m13
374_left,0,2,0,corrected_by_m13
381_left,0,2,0,corrected_by_m13
505_left,0,1,0,corrected_by_m13
1043_right,0,1,0,corrected_by_m13
1147_right,0,1,0,corrected_by_m13
1508_left,0,1,0,corrected_by_m13
1641_right,0,1,0,corrected_by_m13
1817_right,1,1,0,introduced_by_m13
2035_right,0,0,2,introduced_by_m13
2356_left,0,0,2,introduced_by_m13
2356_right,0,1,0,corrected_by_m13
2453_left,2,2,1,introduced_by_m13
2496_left,4,3,4,corrected_by_m13
2597_right,0,2,0,corrected_by_m13
2701_left,0,0,1,introduced_by_m13
2755_left,0,1,0,corrected_by_m13
2755_right,0,1,0,corrected_by_m13
2798_left,2,1,2,corrected_by_m13
2903_left,2,3,2,corrected_by_m13
3061_left,1,1,0,introduced_by_m13
3096_left,3,2,3,corrected_by_m13
3101_left,2,2,1,introduced_by_m13
3307_right,3,3,4,introduced_by_m13
3401_left,0,1,0,corrected_by_m13
3446_left,2,3,2,corrected_by_m13
3454_left,2,2,3,introduced_by_m13
3554_right,2,3,2,corrected_by_m13
3563_right,4,3,4,corrected_by_m13
3601_left,0,1,0,corrected_by_m13
3662_right,0,1,0,corrected_by_m13
3726_left,0,1,0,corrected_by_m13
3726_right,0,0,1,introduced_by_m13
3877_right,0,1,0,corrected_by_m13
3880_right,0,2,0,corrected_by_m13
3989_left,2,0,2,corrected_by_m13
4232_right,1,1,2,introduced_by_m13
4335_left,0,0,2,introduced_by_m13
4464_left,2,2,0,introduced_by_m13
4919_left,0,1,0,corrected_by_m13
5010_left,1,1,0,introduced_by_m13
5058_right,2,2,0,introduced_by_m13
5086_right,0,2,0,corrected_by_m13
5435_right,1,1,0,introduced_by_m13
5475_right,2,0,2,corrected_by_m13
5615_left,2,1,2,corrected_by_m13
5743_right,1,1,0,introduced_by_m13
5766_right,2,2,0,introduced_by_m13
5776_left,1,1,0,introduced_by_m13
5776_right,1,1,0,introduced_by_m13
5841_left,1,1,0,introduced_by_m13
5965_right,2,1,2,corrected_by_m13
5980_left,1,1,0,introduced_by_m13
6129_right,2,3,2,corrected_by_m13
6245_left,0,0,1,introduced_by_m13
6269_left,0,2,0,corrected_by_m13
6318_left,0,2,0,corrected_by_m13
6731_right,2,2,0,introduced_by_m13
6806_right,1,0,1,corrected_by_m13
6816_right,2,3,2,corrected_by_m13
6938_left,0,1,0,corrected_by_m13
6938_right,0,1,0,corrected_by_m13
7219_left,1,1,0,introduced_by_m13
7219_right,1,1,0,introduced_by_m13
7292_left,1,1,0,introduced_by_m13
7298_left,2,3,2,corrected_by_m13
7298_right,3,3,2,introduced_by_m13
7300_left,2,2,0,introduced_by_m13
7307_left,2,2,0,introduced_by_m13
7329_left,3,3,2,introduced_by_m13
7329_right,3,3,2,introduced_by_m13
7360_left,0,2,0,corrected_by_m13
7679_left,0,1,0,corrected_by_m13
7965_left,0,1,0,corrected_by_m13
7965_right,0,1,0,corrected_by_m13
8425_left,2,3,2,corrected_by_m13
8433_left,0,2,0,corrected_by_m13
8558_right,0,2,0,corrected_by_m13
8699_right,3,4,3,corrected_by_m13
8883_right,2,1,2,corrected_by_m13
9251_left,1,1,0,introduced_by_m13
9396_right,2,3,2,corrected_by_m13
9398_right,0,1,0,corrected_by_m13
9452_left,2,2,1,introduced_by_m13
9456_right,1,1,0,introduced_by_m13
9503_left,2,3,2,corrected_by_m13
9518_left,4,4,2,introduced_by_m13
9648_right,0,1,0,corrected_by_m13
9680_right,2,0,2,corrected_by_m13
9736_left,0,1,0,corrected_by_m13
9761_right,0,2,0,corrected_by_m13
9775_right,0,1,0,corrected_by_m13
9783_left,2,3,2,corrected_by_m13
9783_right,4,4,2,introduced_by_m13
9793_left,2,0,2,corrected_by_m13
9961_right,2,3,2,corrected_by_m13
10183_left,2,0,2,corrected_by_m13
10437_right,0,1,0,corrected_by_m13
10674_left,0,1,0,corrected_by_m13
10680_right,2,4,2,corrected_by_m13
10844_left,2,2,0,introduced_by_m13
11263_right,1,0,1,corrected_by_m13
11484_left,0,1,0,corrected_by_m13
11772_left,2,1,2,corrected_by_m13
11858_right,3,3,2,introduced_by_m13
11926_left,0,1,0,corrected_by_m13
11935_left,0,2,0,corrected_by_m13
12168_left,0,0,2,introduced_by_m13
12257_left,2,2,0,introduced_by_m13
12396_right,0,1,0,corrected_by_m13
12654_right,2,0,2,corrected_by_m13
13161_left,2,3,2,corrected_by_m13
13161_right,2,3,2,corrected_by_m13
13196_right,0,0,2,introduced_by_m13
13730_left,1,1,0,introduced_by_m13
13751_right,1,1,0,introduced_by_m13
13962_right,1,1,0,introduced_by_m13
13971_right,2,1,2,corrected_by_m13
14350_right,0,1,0,corrected_by_m13
14811_right,2,2,1,introduced_by_m13
14836_left,0,0,2,introduced_by_m13
14901_right,0,1,0,corrected_by_m13
15185_right,2,2,1,introduced_by_m13
15396_right,1,1,0,introduced_by_m13
16280_right,1,1,0,introduced_by_m13
16327_left,2,2,0,introduced_by_m13
16392_right,4,3,4,corrected_by_m13
